[Header]
Data File Name	E:\10.10.2022_2022-10-10 Wucherung 1h 50ml$min_01.qgd
Output Date	10.10.2022
Output Time	14:22:58

[MS Chromatogram]
m/z	1-1 TIC
Event Time(msec)	100
# of Points	7032
Start Time(min)	2.000
End Time(min)	13.718
Ret.Time	Absolute Intensity	Relative Intensity
3.645	143940	3.79
3.647	184867	4.86
3.648	219204	5.77
3.650	240864	6.34
3.652	245937	6.47
3.653	239990	6.31
3.655	228020	6.00
3.657	206469	5.43
3.658	174707	4.60
3.660	144815	3.81
3.662	121130	3.19
3.663	99672	2.62
3.665	81532	2.14
3.667	67029	1.76
3.668	55774	1.47
3.670	48593	1.28
3.672	42508	1.12
3.673	37072	0.98
3.675	34121	0.90
3.677	32608	0.86
3.678	31617	0.83
3.680	31641	0.83
3.682	32612	0.86
3.683	33298	0.88
3.685	32121	0.84
3.687	29011	0.76
3.688	26751	0.70
3.690	24924	0.66
3.692	23613	0.62
3.693	23170	0.61
3.695	21801	0.57
3.697	19752	0.52
3.698	18215	0.48
3.700	18171	0.48
3.702	17551	0.46
3.703	15479	0.41
3.705	14233	0.37
3.707	13159	0.35
3.708	13317	0.35
3.710	14809	0.39
3.712	14291	0.38
3.713	13773	0.36
3.715	14578	0.38
3.717	14944	0.39
3.718	13793	0.36
3.720	13175	0.35
3.722	13194	0.35
3.723	13496	0.35
3.725	14067	0.37
3.727	12364	0.33
3.728	11834	0.31
3.730	13216	0.35
3.732	13874	0.36
3.733	12546	0.33
3.735	11660	0.31
3.737	11026	0.29
3.738	11163	0.29
3.740	11259	0.30
3.742	11262	0.30
3.743	11914	0.31
3.745	12182	0.32
3.747	11825	0.31
3.748	13377	0.35
3.750	14526	0.38
3.752	14306	0.38
3.753	14448	0.38
3.755	14102	0.37
3.757	13440	0.35
3.758	14305	0.38
3.760	15358	0.40
3.762	14317	0.38
3.763	12990	0.34
3.765	13200	0.35
3.767	13437	0.35
3.768	13107	0.34
3.770	13864	0.36
3.772	14458	0.38
3.773	13061	0.34
3.775	11681	0.31
3.777	11834	0.31
3.778	12346	0.32
3.780	11909	0.31
3.782	12351	0.32
3.783	13944	0.37
3.785	13802	0.36
3.787	12374	0.33
3.788	11547	0.30
3.790	10936	0.29
3.792	9978	0.26
3.793	9706	0.26
3.795	10089	0.27
3.797	10031	0.26
3.798	10363	0.27
3.800	11209	0.29
3.802	12292	0.32
3.803	12165	0.32
3.805	10924	0.29
3.807	10185	0.27
3.808	9131	0.24
3.810	9338	0.25
3.812	10770	0.28
3.813	11128	0.29
3.815	13194	0.35
3.817	15340	0.40
3.818	16427	0.43
3.820	18058	0.47
3.822	19862	0.52
3.823	22710	0.60
3.825	25733	0.68
3.827	28555	0.75
3.828	34213	0.90
3.830	41807	1.10
3.832	47182	1.24
3.833	54134	1.42
3.835	65440	1.72
3.837	72218	1.90
3.838	74358	1.96
3.840	74662	1.96
3.842	73615	1.94
3.843	69105	1.82
3.845	61400	1.61
3.847	52310	1.38
3.848	42575	1.12
3.850	32422	0.85
3.852	25063	0.66
3.853	21525	0.57
3.855	18764	0.49
3.857	16184	0.43
3.858	13603	0.36
3.860	11906	0.31
3.862	12257	0.32
3.863	12761	0.34
3.865	11730	0.31
3.867	11473	0.30
3.868	12058	0.32
3.870	11732	0.31
3.872	12214	0.32
3.873	12827	0.34
3.875	12807	0.34
3.877	13404	0.35
3.878	13805	0.36
3.880	13656	0.36
3.882	13069	0.34
3.883	12847	0.34
3.885	13722	0.36
3.887	14547	0.38
3.888	13997	0.37
3.890	13056	0.34
3.892	12704	0.33
3.893	11996	0.32
3.895	11137	0.29
3.897	11078	0.29
3.898	12001	0.32
3.900	13056	0.34
3.902	13522	0.36
3.903	13772	0.36
3.905	14629	0.38
3.907	15920	0.42
3.908	16124	0.42
3.910	14797	0.39
3.912	14193	0.37
3.913	14008	0.37
3.915	13040	0.34
3.917	12833	0.34
3.918	12707	0.33
3.920	12190	0.32
3.922	12809	0.34
3.923	12666	0.33
3.925	11727	0.31
3.927	12369	0.33
3.928	13544	0.36
3.930	13569	0.36
3.932	12977	0.34
3.933	13396	0.35
3.935	16196	0.43
3.937	18738	0.49
3.938	17993	0.47
3.940	16792	0.44
3.942	17722	0.47
3.943	17451	0.46
3.945	16763	0.44
3.947	17515	0.46
3.948	17899	0.47
3.950	16722	0.44
3.952	15814	0.42
3.953	15288	0.40
3.955	14936	0.39
3.957	14230	0.37
3.958	13872	0.36
3.960	13779	0.36
3.962	12847	0.34
3.963	12466	0.33
3.965	12610	0.33
3.967	12716	0.33
3.968	13590	0.36
3.970	14440	0.38
3.972	15144	0.40
3.973	15323	0.40
3.975	13693	0.36
3.977	12664	0.33
3.978	13401	0.35
3.980	14208	0.37
3.982	14646	0.39
3.983	14490	0.38
3.985	13716	0.36
3.987	13391	0.35
3.988	13949	0.37
3.990	13956	0.37
3.992	13009	0.34
3.993	11949	0.31
3.995	11953	0.31
3.997	12710	0.33
3.998	12607	0.33
4.000	12525	0.33
4.002	12035	0.32
4.003	10457	0.28
4.005	10006	0.26
4.007	10245	0.27
4.008	10666	0.28
4.010	11807	0.31
4.012	11685	0.31
4.013	10518	0.28
4.015	10449	0.27
4.017	11221	0.30
4.018	11561	0.30
4.020	11671	0.31
4.022	12716	0.33
